ScanNo,SumSn,ratio_0,ratio_1,ratio_5,ratio_10,ratio_10,ratio_5,ratio_1,ratio_0
15540,1809.6,0.0065204,0.63256,2.9368,6.9384,5.9302,2.9688,0.58108,0.005594
30453,105.58,0.00048427,0.00013691,2.2659,6.9143,6.4422,3.4451,0.93163,0.00026553
38365,0,0,0,0,0,0,0,0,0
21886,1304.3,0.002877,0.6078,3.2336,6.8508,5.886,2.8841,0.53304,0.0018931
15558,87.992,1.4948,1.0137,2.9259,5.4188,4.2486,3.4219,1.4761,0.00016496
50996,140.33,0.0065278,0.69469,2.9626,7.2737,5.5967,3.02,0.4401,0.0056708
29287,582.73,0.1833,0.54641,3.0252,6.8539,5.3161,3.2911,0.6043,0.17968
22458,863.03,0.099179,0.56466,2.8019,6.937,6.0155,3.0439,0.53541,0.0023751
9271,1714.2,0.0030366,0.53148,3.0798,7.0436,5.9178,2.8489,0.57325,0.0021034
24972,131.11,0.0067791,0.64304,2.7398,7.1584,5.5896,3.2052,0.65175,0.0053729
25529,38.077,0,0,0,0,0,0,0,0
15095,669.68,1.1154,1.1071,2.6754,5.5837,4.6849,2.962,1.0961,0.77533
12032,380.68,0.0066182,0.51467,2.6396,7.2344,5.8925,3.1649,0.54166,0.0056441
16413,901.76,0.0064955,0.66253,2.6529,6.9902,5.931,3.199,0.55227,0.0057073
7748,5074.5,0.045557,0.51493,2.6926,7.1647,5.763,3.2434,0.53694,0.038871
12065,4980.7,0.078881,0.87214,3.8153,6.7197,5.583,2.5076,0.42144,0.001906
31989,377.37,0.015387,0.60044,2.6248,7.2381,6.1434,2.8092,0.55489,0.013736
23138,1178.6,0.051492,0.60663,2.9054,6.9351,5.8335,3.0086,0.61262,0.046718
19777,603.7,0.0026448,0.55666,2.6857,7.2596,5.8609,2.9952,0.63739,0.0019502
31481,681.94,0.0027012,0.49978,3.1463,6.9617,5.8361,3.0052,0.54633,0.0018988
15129,1537.2,0.0068505,0.51425,3.0728,6.9411,5.9634,2.9932,0.5027,0.0056987
42069,890.02,0.0066136,0.53727,2.8825,7.1433,6.0698,2.8626,0.49227,0.0057279
44194,84.891,0.0013597,0.66845,2.2343,8.3705,5.1599,3.5636,0.00041848,0.0014653
44226,48.388,0,0,0,0,0,0,0,0
9895,974.35,0.015339,0.54403,2.8336,7.1928,5.9468,2.9513,0.50197,0.014235
16489,661.37,0.011582,0.010982,3.024,7.603,6.361,2.971,0.0070232,0.011348
24507,1654,0.0066716,0.46686,2.7795,7.1086,6.214,3.0647,0.35347,0.0061494
40182,194.79,0.011445,0.33115,2.9878,6.6299,5.174,4.024,0.8333,0.0083123
