ScanNo,SumSn,ratio_0,ratio_1,ratio_5,ratio_10,ratio_10,ratio_5,ratio_1,ratio_0
154,6292.8,0.044888,0.83791,4.1689,6.6831,5.3772,2.4698,0.41612,0.0021285
182,873.22,0.070448,0.78142,3.8588,7.0386,5.2192,2.635,0.39437,0.0021942
269,287.19,0.0031078,0.42513,3.2572,7.0761,5.8957,2.9354,0.40484,0.002536
287,570.06,0.058068,1.0113,4.5581,6,5.294,2.4684,0.59559,0.014433
546,961.29,0.087232,0.96846,3.8701,6.4077,5.852,2.4447,0.36756,0.0022544
761,994.79,0.00080221,0.78019,4.1207,6.5203,5.8037,2.3322,0.44056,0.0015867
10063,445.84,0.11373,0.89147,3.4362,7.1137,5.4814,2.5175,0.44439,0.0016997
10114,688.02,0.010194,0.0038021,4.0697,7.2679,5.4905,2.6611,0.4868,0.0099423
10201,216.31,0.0064768,0.64525,2.706,7.0369,5.6575,3.2353,0.70708,0.0055077
10233,351.51,0.0066882,0.40747,2.9565,7.2906,5.8422,2.9244,0.56654,0.0057025
10270,543.12,0.27614,0.95027,4.0554,6.5235,5.1345,2.5436,0.51645,0.00014991
10299,242.44,0.0089505,0.97165,4.269,6.8323,4.8483,2.7488,0.30781,0.013104
10303,64.461,0.0017211,0.00041448,6.1729,5.8738,4.404,2.2923,1.2533,0.0015453
10317,274.91,0.006778,0.64834,2.974,7.0011,5.9179,2.8057,0.64078,0.005462
10377,557.8,0.011901,0.011205,3.1663,7.6904,6.3512,2.7491,0.0082352,0.011704
10521,423.01,0.0065611,0.5477,2.6632,7.407,5.5613,3.1801,0.62844,0.0057064
10574,1316.7,1.1415,1.3593,3.3872,5.3401,4.319,2.4596,1.2393,0.75398
10607,267.83,0.0016916,0.17811,1.8574,6.7143,6.7148,3.714,0.81716,0.0025973
10612,230.3,0.0022048,0.0010989,3.2646,6.9252,5.0117,3.4581,1.336,0.0011753
10627,412.26,0.16915,0.62733,2.7941,6.4502,5.5614,3.2856,0.8329,0.27927
10633,870.28,0.0027443,0.44653,2.786,7.3014,5.6964,3.2104,0.55425,0.0022203
10638,58.197,0.0065874,0.0040612,4.1015,5.7569,4.143,2.9883,2.0732,0.92641
10678,1017.2,0.046824,0.575,2.9531,6.7072,6.1436,3.001,0.55839,0.014966
10679,113.71,6.58E-06,6.60E-06,5.36E-06,20,3.32E-06,6.48E-06,6.57E-06,6.40E-06
10721,1046,0.006545,0.59381,2.7609,7.0724,6.0513,2.9151,0.59439,0.0055739
10775,333.09,0.015538,0.52905,3.1785,7.0147,6.2319,2.7117,0.30395,0.014736
10784,912.18,0.14109,0.96741,3.3562,7.6935,5.247,2.2243,0.36877,0.001677
10786,1882.8,0.015474,0.56529,3.089,6.9731,5.9463,2.8713,0.52502,0.014544
10839,436.73,0.32842,0.55993,2.087,6.6528,5.6547,3.552,0.90274,0.26234
10846,2299.6,0.0066118,0.51753,2.8797,7.1813,5.892,3.0049,0.51222,0.0058207
10878,639.17,0.0014536,0.54806,2.8155,7.1593,5.6908,3.0005,0.71097,0.073447
10906,773.1,1.8116,1.3644,2.535,4.4908,3.9244,2.88,1.6252,1.3687
